Id,Predicted
0,7292
1,1433
2,30648
3,25735
4,1158
5,57
6,20148
7,1975
8,27890
9,6436
10,25702
11,31291
12,4059
13,27532
14,2793
15,11438
16,2080
17,5301
18,30579
19,2279
20,19453
21,28918
22,18045
23,29302
24,14043
25,19531
26,24803
27,9925
28,24446
29,14767
30,7739
31,11977
32,5054
33,11252
34,6135
35,28154
36,615
37,25735
38,25542
39,870
40,14950
41,19680
42,9348
43,11551
44,31691
45,30612
46,17779
47,10670
48,20495
49,25542
50,20776
51,10338
52,14228
53,3403
54,19833
55,26788
56,19415
57,2999
58,19045
59,2072
60,4835
61,16424
62,13435
63,29237
64,15916
65,5038
66,32034
67,25762
68,26322
69,15960
70,8278
71,487
72,28000
73,6228
74,11120
75,29203
76,2892
77,13667
78,22049
79,30805
80,1532
81,19837
82,24982
83,13011
84,4103
85,24182
86,6659
87,31406
88,14560
89,17077
90,2127
91,23057
92,1887
93,31854
94,5604
95,11926
96,29922
97,15016
98,20418
99,2457
100,17654
101,23332
102,27355
103,27182
104,2365
105,20805
106,19316
107,16387
108,29302
109,25216
110,5305
111,25183
112,6515
113,21631
114,13777
115,18085
116,23657
117,26768
118,7626
119,26046
120,11461
121,29807
122,22582
123,2271
124,27411
125,25702
126,31981
127,29052
128,29318
129,1528
130,6916
131,21440
132,26616
133,2076
134,20908
135,22441
136,2368
137,24085
138,28595
139,15596
140,16446
141,950
142,27070
143,30034
144,8489
145,21454
146,11316
147,27334
148,1330
149,7784
150,9090
151,3891
152,13195
153,6903
154,20503
155,9964
156,31301
157,5285
158,19913
159,26034
160,3769
161,4218
162,11500
163,15171
164,17119
165,26315
166,5983
167,15550
168,2937
169,25462
170,18093
171,17916
172,12484
173,16713
174,30007
175,16446
176,23502
177,17662
178,31052
179,4590
180,24363
181,30707
182,6773
183,28766
184,18524
185,526
186,3584
187,20985
188,14334
189,17974
190,31366
191,29966
192,7574
193,16168
194,27372
195,11461
196,31251
197,22098
198,17874
199,2626
200,26362
201,10679
202,10884
203,7248
204,6124
205,29497
206,26849
207,24978
208,1285
209,31309
210,18229
211,28490
212,14982
213,2675
214,11955
215,4216
216,4681
217,12756
218,26384
219,31906
220,15857
221,12286
222,27185
223,3761
224,540
225,20552
226,4524
227,16187
228,4895
229,4877
230,7584
231,4704
232,15032
233,13236
234,19034
235,31300
236,7465
237,9851
238,14043
239,22528
240,30746
241,17266
242,1007
243,25762
244,7540
245,157
246,22883
247,9833
248,30885
249,10306
250,25013
251,8674
252,17681
253,28321
254,13103
255,8369
256,1858
257,7195
258,4797
259,2660
260,31184
261,25786
262,6978
263,4605
264,8294
265,16577
266,22729
267,100
268,12700
269,27838
270,29326
271,17021
272,1071
273,11338
274,28549
275,19578
276,11477
277,2284
278,27355
279,12480
280,23253
281,1101
282,6173
283,5224
284,18302
285,28728
286,1282
287,3639
288,31213
289,26692
290,31753
291,10434
292,9699
293,27770
294,19815
295,27684
296,6654
297,9764
298,24947
299,4669
300,619
301,627
302,2004
303,4157
304,17727
305,14652
306,18733
307,20057
308,30883
309,29862
310,17831
311,22958
312,16439
313,13015
314,12779
315,31257
316,16021
317,19825
318,15330
319,30336
320,6999
321,13324
322,17338
323,255
324,17630
325,28857
326,13332
327,10271
328,12692
329,28527
330,20816
331,31680
332,4090
333,8030
334,23389
335,7208
336,8739
337,4416
338,31052
339,23706
340,24159
341,20397
342,20881
343,31531
344,9483
345,18896
346,21007
347,2067
348,6295
349,2874
350,24319
351,162
352,9915
353,600
354,25681
355,16578
356,6789
357,16432
358,10164
359,1223
360,13993
361,13983
362,7189
363,20480
364,21004
365,1670
366,1435
367,13360
368,14714
369,8498
370,19434
371,25042
372,10925
373,18359
374,31499
375,16363
376,8671
377,1194
378,19453
379,881
380,26917
381,23788
382,23772
383,8289
384,2825
385,24016
386,6521
387,17427
388,26041
389,24865
390,3887
391,29284
392,23953
393,27684
394,25230
395,12557
396,1651
397,2280
398,15791
399,16175
400,21268
401,9947
402,14043
403,3622
404,7330
405,21566
406,11110
407,10263
408,13551
409,12964
410,13689
411,11930
412,29824
413,5422
414,13653
415,2047
416,6446
417,31854
418,11591
419,23907
420,19415
421,18994
422,7183
423,11429
424,1155
425,10353
426,4598
427,6116
428,18647
429,21016
430,2004
431,4987
432,30643
433,11106
434,456
435,12140
436,2382
437,8986
438,4277
439,21746
440,10826
441,30583
442,19521
443,10665
444,9895
445,16218
446,6703
447,9160
