Id,Predicted
0,25296
1,22128
10,22979
100,31353
1000,5431
10000,883
100000,15905
100001,10590
100002,19715
100003,25789
100004,24534
100005,21996
100006,2120
100007,11276
100008,26071
100009,15410
10001,25667
100010,16783
100011,19627
100012,26336
100013,7253
100014,31928
100015,15910
100016,10718
100017,28587
100018,15209
100019,16219
10002,2027
100020,25667
100021,15063
100022,20326
100023,8319
100024,16514
100025,14873
100026,10227
100027,10115
100028,13850
100029,16133
10003,28468
100030,20421
100031,8386
100032,24534
100033,6823
100034,19958
100035,22972
100036,8361
100037,24534
100038,21659
100039,27548
10004,5208
100040,24445
100041,19965
100042,23718
100043,24142
100044,25667
100045,24846
100046,21700
100047,26054
100048,24477
100049,29337
10005,12618
100050,2856
100051,153
100052,7428
100053,7245
100054,22971
100055,5843
100056,3655
100057,2278
100058,4661
100059,2496
10006,6217
100060,20421
100061,10805
100062,24923
100063,7428
100064,15905
100065,16047
100066,16143
100067,24196
100068,7400
100069,25518
10007,14945
100070,23207
100071,26666
100072,15724
100073,24142
100074,12535
100075,1324
100076,30079
100077,444
100078,26576
100079,5052
10008,27843
100080,30720
100081,29957
100082,17314
100083,24477
100084,6046
100085,7253
100086,28524
100087,591
100088,24400
100089,7573
10009,24237
100090,29254
100091,31010
100092,30704
100093,24923
100094,8031
100095,26160
100096,29957
100097,5702
100098,21704
100099,6293
1001,28784
10010,28236
100100,31322
100101,8685
100102,15905
100103,11164
100104,19841
100105,8877
100106,31034
100107,29957
100108,25546
100109,30279
10011,30677
100110,7358
100111,669
100112,5307
100113,9464
100114,28648
100115,5133
100116,870
100117,5279
100118,19919
100119,29647
10012,14366
100120,8385
100121,16670
100122,296
100123,12577
100124,4232
100125,30382
100126,11304
100127,19469
100128,25411
100129,4665
10013,559
100130,21405
100131,4873
100132,31744
100133,20930
100134,4745
100135,730
100136,30382
100137,5048
100138,12990
100139,23957
10014,20762
100140,25667
100141,11246
100142,13675
100143,9825
100144,31409
100145,19012
100146,10848
100147,15479
100148,30702
100149,750
10015,3076
100150,28051
100151,1321
100152,71
100153,4605
100154,26403
100155,24149
100156,12683
100157,31025
100158,20830
100159,21423
10016,7244
100160,14579
100161,24163
100162,25507
100163,24878
100164,7790
100165,28135
100166,163
100167,16981
100168,750
100169,1818
10017,31843
100170,30488
100171,10904
100172,15477
100173,23347
100174,15327
100175,25798
100176,31401
100177,30854
100178,14674
100179,21700
10018,8527
100180,296
100181,24534
100182,13715
100183,19936
100184,13324
100185,9673
100186,22680
100187,17462
100188,17077
100189,19453
10019,25026
100190,23710
100191,26779
100192,13363
100193,13560
100194,15547
100195,25147
100196,29957
100197,8536
100198,10672
100199,3324
1002,22920
10020,7603
100200,14355
100201,5133
100202,15905
100203,971
100204,17873
100205,31766
100206,6599
100207,24534
100208,20422
100209,24534
10021,23118
100210,26403
100211,24691
100212,5657
100213,22439
100214,7173
100215,2762
100216,13473
100217,11364
100218,8661
100219,15824
10022,3403
100220,28051
100221,7189
100222,15520
100223,30638
100224,3372
100225,25518
100226,8998
100227,12779
100228,10240
100229,20654
10023,14980
100230,25727
100231,25863
100232,6823
100233,29195
100234,2159
100235,4932
100236,2474
100237,16092
100238,7358
100239,5133
10024,24263
100240,27384
100241,29531
100242,26442
100243,11356
100244,15905
100245,20239
100246,31035
100247,1981
100248,23961
100249,29070
10025,12453
100250,7135
100251,6072
100252,3403
100253,25667
100254,27120
100255,19349
100256,19964
100257,25027
100258,6673
100259,3680
10026,12683
100260,6201
100261,3726
100262,8396
100263,20646
100264,1986
100265,27831
100266,23713
100267,20011
100268,5340
100269,16864
10027,4874
100270,10388
100271,12546
100272,31775
100273,24024
100274,11299
100275,7482
100276,27227
100277,5211
100278,23070
100279,153
10028,12616
100280,1576
100281,10240
100282,24087
100283,17733
100284,15657
100285,27210
100286,15149
100287,21700
100288,27971
100289,25656
10029,17071
100290,31746
100291,6111
100292,22701
100293,17758
100294,8879
100295,15906
100296,16074
100297,14744
100298,29499
100299,28890
1003,2368
10030,26123
100300,25667
100301,15401
100302,21397
100303,29071
100304,1389
100305,8386
100306,13282
100307,22971
100308,13282
100309,27771
10031,8306
100310,7243
100311,30918
100312,4634
100313,28872
100314,1085
100315,8307
100316,5142
100317,12444
100318,11018
100319,153
10032,5279
100320,12480
100321,24081
100322,21674
100323,1203
100324,10236
100325,20830
100326,7243
100327,5516
100328,4006
100329,3580
10033,25798
100330,30630
100331,18508
100332,16390
100333,26340
100334,747
100335,30644
100336,21962
100337,16507
100338,25969
100339,20750
10034,10248
100340,31315
100341,61
100342,19691
100343,21395
100344,7672
100345,11825
100346,7022
100347,26123
100348,25008
100349,28305
10035,5922
100350,16156
100351,15210
100352,23485
100353,2596
100354,31205
100355,25546
100356,14945
100357,19012
100358,29273
100359,24534
10036,15905
100360,15175
100361,22535
100362,10349
100363,5179
100364,1941
100365,1367
100366,28236
100367,4661
100368,26403
100369,29957
10037,18988
100370,24534
100371,24400
100372,7761
100373,12055
100374,12768
100375,29957
100376,15899
100377,14100
100378,7157
100379,7221
10038,19485
100380,21583
100381,15646
100382,15631
100383,945
100384,29554
100385,9483
100386,19691
100387,27745
100388,26007
100389,6241
10039,24534
100390,24779
100391,1195
100392,25357
100393,25474
100394,15437
100395,976
100396,20166
100397,16531
100398,8317
100399,30699
1004,23151
10040,27345
100400,7816
100401,23456
100402,23828
100403,19453
100404,29957
100405,13179
100406,28357
100407,5054
100408,29386
100409,25122
10041,26585
100410,1699
100411,28071
100412,1324
100413,8839
100414,4912
100415,25785
100416,29957
100417,971
100418,8839
100419,12949
10042,16934
