Id,Predicted
0,7292
1,22085
10,21267
100,31353
1000,5425
10000,894
100000,30145
100001,20552
100002,1069
100003,29274
100004,16267
100005,1920
100006,2219
100007,688
100008,26209
100009,15415
10001,21531
100010,16792
100011,15437
100012,20424
100013,17174
100014,20324
100015,8861
100016,10719
100017,20638
100018,15210
100019,25170
10002,6182
100020,28454
100021,15071
100022,3069
100023,8333
100024,16513
100025,17037
100026,20866
100027,3349
100028,13849
100029,30145
10003,20180
100030,8718
100031,2087
100032,29504
100033,27928
100034,28654
100035,22972
100036,8301
100037,21408
100038,14467
100039,20172
10004,18370
100040,20552
100041,19965
100042,26978
100043,6857
100044,2980
100045,13043
100046,21719
100047,26055
100048,24481
100049,14289
10005,20624
100050,324
100051,160
100052,14663
100053,3398
100054,1706
100055,163
100056,3655
100057,2278
100058,23765
100059,27854
10006,6217
100060,4749
100061,27066
100062,1919
100063,384
100064,9267
100065,15437
100066,23713
100067,27066
100068,26865
100069,29749
10007,25170
100070,25170
100071,1442
100072,15724
100073,15496
100074,12539
100075,24383
100076,30079
100077,28581
100078,23723
100079,5048
10008,13435
100080,30716
100081,27373
100082,26060
100083,18444
100084,6046
100085,9477
100086,26634
100087,577
100088,6126
100089,21574
10009,24242
100090,20830
100091,5978
100092,17961
100093,8472
100094,1019
100095,21628
100096,29975
100097,4752
100098,30145
100099,15417
1001,20552
10010,9465
100100,14551
100101,8685
100102,2930
100103,14990
100104,11621
100105,1048
100106,31034
100107,21364
100108,25584
100109,16095
10011,19769
100110,1288
100111,27067
100112,5358
100113,9589
100114,28656
100115,23713
100116,877
100117,22554
100118,16355
100119,29331
10012,27399
100120,14945
100121,21628
100122,13889
100123,27066
100124,3682
100125,6905
100126,8844
100127,19469
100128,12755
100129,31509
10013,16887
100130,8685
100131,7232
100132,19217
100133,15287
100134,5582
100135,1097
100136,26896
100137,843
100138,22599
100139,13183
10014,9604
100140,18511
100141,20552
100142,30145
100143,9464
100144,31405
100145,4752
100146,23702
100147,23954
100148,30701
100149,3615
10015,25339
100150,28015
100151,1321
100152,6188
100153,5997
100154,22410
100155,13889
100156,10271
100157,31025
100158,20006
100159,21430
10016,26114
100160,25676
100161,11305
100162,23702
100163,26829
100164,7784
100165,27824
100166,11549
100167,30145
100168,6957
100169,12870
10017,31843
100170,1515
100171,10884
100172,30145
100173,12112
100174,15327
100175,30748
100176,9821
100177,18551
100178,30092
100179,27842
10018,12705
100180,12700
100181,27209
100182,21300
100183,16569
100184,21016
100185,24174
100186,22677
100187,7873
100188,17072
100189,11735
10019,15540
100190,23710
100191,29644
100192,384
100193,3941
100194,30145
100195,19434
100196,31719
100197,26037
100198,20854
100199,25945
1002,15772
10020,3238
100200,2267
100201,4886
100202,19921
100203,12548
100204,17874
100205,31766
100206,6580
100207,14486
100208,21574
100209,28305
10021,7156
100210,22558
100211,7075
100212,7579
100213,22439
100214,30145
100215,5378
100216,12349
100217,6990
100218,22638
100219,24677
10022,19220
100220,27066
100221,13109
100222,3359
100223,30644
100224,25321
100225,26668
100226,8998
100227,17671
100228,25170
100229,22037
10023,16686
100230,12508
100231,30517
100232,20014
100233,17956
100234,7418
100235,4932
100236,2474
100237,29717
100238,5649
100239,23713
10024,24263
100240,4670
100241,1945
100242,26432
100243,5219
100244,8743
100245,26336
100246,12158
100247,19224
100248,14039
100249,28538
10025,26028
100250,24153
100251,8671
100252,26216
100253,27066
100254,21072
100255,19304
100256,19964
100257,4184
100258,6683
100259,21679
10026,12683
100260,13895
100261,3726
100262,12297
100263,20670
100264,2000
100265,30530
100266,19308
100267,9480
100268,21500
100269,27842
10027,4866
100270,5
100271,19453
100272,1851
100273,14499
100274,11300
100275,5506
100276,13889
100277,31646
100278,25355
100279,26175
10028,30733
100280,29748
100281,8374
100282,16169
100283,17736
100284,1869
100285,27252
100286,5762
100287,21799
100288,3845
100289,28228
10029,23491
100290,13889
100291,9442
100292,22729
100293,25170
100294,8906
100295,15906
100296,32075
100297,29132
100298,29499
100299,25111
1003,24897
10030,29173
100300,25675
100301,20674
100302,31022
100303,1831
100304,25796
100305,10227
100306,19987
100307,25170
100308,2800
100309,27737
10031,8370
100310,14837
100311,30604
100312,24421
100313,2745
100314,31193
100315,8339
100316,15674
100317,4717
100318,24096
100319,1178
10032,25061
100320,12491
100321,14722
100322,17694
100323,25170
100324,8283
100325,22782
100326,30876
100327,25439
100328,14514
100329,9511
10033,3070
100330,30628
100331,14437
100332,21679
100333,26340
100334,19225
100335,30655
100336,30145
100337,30145
100338,25887
100339,27066
10034,30145
100340,31315
100341,12817
100342,14873
100343,7780
100344,7693
100345,11825
100346,16988
100347,18600
100348,3395
100349,27457
10035,5922
100350,19629
100351,21648
100352,25439
100353,2596
100354,27506
100355,8319
100356,11066
100357,20552
100358,7678
100359,11691
10036,30934
100360,16231
100361,14365
100362,10339
100363,12034
100364,1942
100365,1367
100366,30145
100367,4648
100368,27066
100369,2442
10037,9608
100370,29638
100371,559
100372,7777
100373,3721
100374,3903
100375,14221
100376,12606
100377,26326
100378,31470
100379,7221
10038,5633
100380,16682
100381,22073
100382,4425
100383,960
100384,31035
100385,19965
100386,19686
100387,12147
100388,3616
100389,12383
10039,28522
100390,24828
100391,4731
100392,20380
100393,25544
100394,15437
100395,975
100396,13889
100397,11899
100398,2047
100399,10359
1004,25427
10040,3125
100400,11807
100401,23473
100402,15158
100403,23151
100404,23713
100405,539
100406,22037
100407,9804
100408,29386
100409,1207
10041,6581
100410,1670
100411,22722
100412,21390
100413,8623
100414,4910
100415,29934
100416,16486
100417,23765
100418,21009
100419,6034
10042,16955
100420,24295
100421,23322
100422,23713
100423,29748
100424,15163
100425,5759
100426,19047
100427,20806
