Id,Predicted
0,4661
1,4633
10,29591
100,2148
1000,25556
10000,4633
100000,6858
100001,18506
100002,6858
100003,27839
100004,27839
100005,27839
100006,27839
100007,4633
100008,4633
100009,12167
10001,27839
100010,4633
100011,26848
100012,31393
100013,18506
100014,4633
100015,4633
100016,4633
100017,18506
100018,747
100019,25556
10002,18506
100020,27839
100021,4633
100022,27839
100023,25556
100024,27839
100025,4661
100026,4232
100027,4633
100028,18506
100029,27839
10003,6858
100030,27839
100031,26848
100032,18506
100033,29591
100034,27839
100035,18506
100036,29285
100037,6858
100038,27839
100039,27839
10004,18506
100040,18506
100041,4633
100042,18506
100043,4633
100044,4633
100045,27839
100046,27839
100047,4232
100048,29591
100049,17338
10005,18506
100050,27839
100051,27839
100052,18506
100053,4661
100054,4633
100055,26848
100056,4633
100057,25556
100058,27839
100059,4661
10006,18506
100060,27839
100061,29285
100062,4633
100063,4661
100064,27839
100065,2148
100066,4633
100067,25556
100068,18506
100069,6557
10007,25546
100070,18506
100071,2148
100072,6858
100073,18506
100074,18506
100075,6858
100076,18506
100077,27839
100078,747
100079,747
10008,18506
100080,27839
100081,14267
100082,29285
100083,18506
100084,25556
100085,18506
100086,27839
100087,26848
100088,27839
100089,29285
10009,18506
100090,4661
100091,27839
100092,4661
100093,27839
100094,5335
100095,27839
100096,8741
100097,4633
100098,27839
100099,22941
1001,4633
10010,4661
100100,18506
100101,27839
100102,6858
100103,12167
100104,4633
100105,27839
100106,6858
100107,14267
100108,747
100109,18506
10011,8741
100110,18506
100111,27839
100112,16803
100113,8338
100114,27839
100115,747
100116,4633
100117,4661
100118,6858
100119,4633
10012,25556
100120,27839
100121,4633
100122,18506
100123,18506
100124,29285
100125,6858
100126,25556
100127,4633
100128,18506
100129,27839
10013,4661
100130,18506
100131,25546
100132,6858
100133,27839
100134,4633
100135,4633
100136,27839
100137,25556
100138,27839
100139,12167
10014,4633
100140,27839
100141,27839
100142,29285
100143,27839
100144,27839
100145,27839
100146,25556
100147,25556
100148,27839
100149,4633
10015,4633
100150,18506
100151,747
100152,18506
100153,27839
100154,18506
100155,18506
100156,27839
100157,18506
100158,4633
100159,25556
10016,18506
100160,27839
100161,4633
100162,25556
100163,27839
100164,16803
100165,18506
100166,8338
100167,18506
100168,6858
100169,18506
10017,25556
100170,27839
100171,25556
100172,25556
100173,18506
100174,6858
100175,4661
100176,27839
100177,6858
100178,5245
100179,29285
10018,15479
100180,27839
100181,18506
100182,27839
100183,4633
100184,4633
100185,6858
100186,18506
100187,18506
100188,18506
100189,18506
10019,18506
100190,23718
100191,21796
100192,4661
100193,4661
100194,29591
100195,4661
100196,14267
100197,25556
100198,25556
100199,27839
1002,4633
10020,4633
100200,4633
100201,747
100202,18506
100203,18506
100204,27839
100205,18506
100206,18506
100207,27839
100208,20427
100209,2148
10021,29591
100210,18506
100211,18506
100212,4633
100213,27839
100214,18506
100215,26848
100216,747
100217,27839
100218,4661
100219,12167
10022,27839
100220,18506
100221,22941
100222,27839
100223,6858
100224,22941
100225,4633
100226,29285
100227,23718
100228,26848
100229,16803
10023,27839
100230,18506
100231,27839
100232,29591
100233,29591
100234,18506
100235,747
100236,6858
100237,29591
100238,29591
100239,4633
10024,18506
100240,18506
100241,27839
100242,15479
100243,22941
100244,4232
100245,27839
100246,27839
100247,18506
100248,27839
100249,27839
10025,16803
100250,27839
100251,29591
100252,18506
100253,27839
100254,4633
100255,18506
100256,4633
100257,27839
100258,4661
100259,4633
10026,27839
100260,25546
100261,25556
100262,18506
100263,27839
100264,18506
100265,29285
100266,4633
100267,18506
100268,27839
100269,25556
10027,25556
100270,6858
100271,18506
100272,18506
100273,29285
100274,4232
100275,27839
100276,4232
100277,27839
100278,29591
100279,29295
10028,4633
100280,25556
100281,12167
100282,18506
100283,18506
100284,18506
100285,18506
100286,18506
100287,27839
100288,25556
100289,27839
10029,4661
100290,27839
100291,27839
100292,27839
100293,27839
100294,4633
100295,27839
100296,29591
100297,4633
100298,29591
100299,4633
1003,20427
10030,4633
100300,27839
100301,27839
100302,4633
100303,18506
100304,18506
100305,747
100306,18506
100307,18506
100308,27839
100309,4661
10031,747
100310,27839
100311,25200
100312,4633
100313,12173
100314,29285
100315,25556
100316,29591
100317,27839
100318,747
100319,27839
10032,18506
100320,27839
100321,4633
100322,27839
100323,6858
100324,6858
100325,18506
100326,27839
100327,27839
100328,29285
100329,25556
10033,27839
100330,27839
100331,27839
100332,27839
100333,4633
100334,27839
100335,6858
100336,18506
100337,27839
100338,27839
100339,4633
10034,747
100340,27839
100341,27839
100342,18506
100343,26848
100344,29591
100345,27839
100346,29591
100347,4633
100348,18506
100349,27839
10035,16803
100350,27839
100351,4633
100352,18506
100353,16803
100354,27839
100355,12167
100356,18506
100357,27839
100358,27839
100359,18506
10036,14267
100360,18506
100361,26848
100362,29285
100363,29591
100364,2219
100365,27839
100366,18506
100367,4633
100368,29591
100369,4633
10037,6858
100370,14267
100371,18506
100372,6858
100373,18506
100374,4232
100375,6858
100376,26848
100377,29591
100378,18506
100379,4633
10038,27839
100380,16803
100381,27839
100382,27839
