Id,Predicted
0,20200
1,13674
10,24273
100,13530
1000,5425
10000,885
100000,16574
100001,1256
100002,24126
100003,25789
100004,28677
100005,25452
100006,1387
100007,688
100008,26209
100009,15415
10001,24126
100010,16780
100011,26746
100012,20424
100013,17185
100014,20280
100015,8851
100016,10719
100017,23208
100018,15210
100019,28321
10002,19470
100020,15129
100021,14759
100022,3069
100023,8333
100024,12583
100025,1413
100026,21082
100027,7326
100028,13292
100029,2146
10003,21086
100030,8718
100031,31954
100032,13556
100033,1413
100034,28654
100035,22947
100036,11269
100037,21408
100038,14467
100039,20172
10004,18370
100040,22257
100041,11551
100042,2611
100043,6857
100044,2980
100045,13073
100046,21766
100047,26054
100048,31973
100049,14289
10005,21193
100050,1237
100051,160
100052,8652
100053,3398
100054,28842
100055,5843
100056,23320
100057,2278
100058,18006
100059,27854
10006,7530
100060,4750
100061,28548
100062,1918
100063,11534
100064,22257
100065,12657
100066,4412
100067,20522
100068,3799
100069,28918
10007,8727
100070,12147
100071,6367
100072,23899
100073,16742
100074,12539
100075,16434
100076,31954
100077,15031
100078,23723
100079,12088
10008,19702
100080,30716
100081,27374
100082,20864
100083,24242
100084,26057
100085,26815
100086,26636
100087,577
100088,6126
100089,29789
10009,24239
100090,1666
100091,19558
100092,74
100093,8472
100094,29885
100095,26198
100096,29876
100097,5696
100098,21762
100099,27224
1001,12190
10010,19726
100100,655
100101,8685
100102,2953
100103,14990
100104,16782
100105,12755
100106,28606
100107,21364
100108,25584
100109,29563
10011,19769
100110,31954
100111,7890
100112,5307
100113,9589
100114,28662
100115,24398
100116,5822
100117,12172
100118,4565
100119,6501
10012,27397
100120,3681
100121,22083
100122,6768
100123,30196
100124,30407
100125,6905
100126,8844
100127,19469
100128,12755
100129,9920
10013,15434
100130,24239
100131,7232
100132,4974
100133,6527
100134,15022
100135,1097
100136,819
100137,845
100138,20844
100139,5839
10014,6945
100140,13939
100141,20375
100142,17781
100143,9464
100144,20286
100145,3842
100146,10873
100147,15480
100148,30701
100149,20844
10015,5283
100150,27911
100151,1313
100152,74
100153,28677
100154,22410
100155,23220
100156,18403
100157,31025
100158,12142
100159,21430
10016,9784
100160,25676
100161,21429
100162,4007
100163,6082
100164,23914
100165,542
100166,11549
100167,22917
100168,6957
100169,12870
10017,31873
100170,31954
100171,10884
100172,24235
100173,7667
100174,31005
100175,15428
100176,9821
100177,18535
100178,5567
100179,27842
10018,16447
100180,12703
100181,27209
100182,8466
100183,1313
100184,20844
100185,24174
100186,23321
100187,951
100188,14096
100189,12582
10019,82
100190,12172
100191,29644
100192,383
100193,14661
100194,14784
100195,24268
100196,8120
100197,10753
100198,16063
100199,865
1002,14953
10020,15434
100200,2267
100201,4798
100202,2024
100203,5462
100204,17870
100205,6807
100206,6580
100207,20531
100208,22263
100209,3015
10021,30338
100210,74
100211,12147
100212,7579
100213,23978
100214,24272
100215,5378
100216,8350
100217,21788
100218,14896
100219,24677
10022,19220
100220,11773
100221,14896
100222,650
100223,30644
100224,19688
100225,25597
100226,305
100227,16074
100228,2731
100229,22037
10023,16691
100230,18419
100231,7091
100232,12142
100233,15434
100234,14602
100235,4939
100236,2400
100237,20844
100238,5649
100239,1956
10024,18294
100240,4661
100241,24248
100242,24067
100243,17356
100244,16702
100245,9541
100246,1436
100247,19224
100248,16081
100249,2324
10025,11814
100250,30868
100251,8671
100252,11388
100253,21679
100254,2779
