Id,Predicted
0,24248
1,1444
10,24260
100,31353
1000,7207
10000,885
100000,16574
100001,1256
100002,12190
100003,25789
100004,19092
100005,25452
100006,1387
100007,688
100008,26209
100009,15415
10001,21531
100010,23781
100011,26746
100012,20424
100013,17185
100014,2772
100015,8861
100016,10719
100017,20638
100018,15210
100019,28321
10002,1906
100020,15129
100021,15063
100022,3069
100023,8333
100024,25371
100025,1419
100026,21126
100027,27256
100028,13849
100029,13278
10003,10543
100030,8718
100031,21099
100032,13840
100033,270
100034,5254
100035,133
100036,8351
100037,21408
100038,14467
100039,14767
10004,18370
100040,22259
100041,11551
100042,16523
100043,6851
100044,713
100045,15434
100046,21796
100047,26056
100048,12142
100049,14289
10005,8350
100050,1237
100051,160
100052,16068
100053,3398
100054,28842
100055,23856
100056,23320
100057,2278
100058,24052
100059,28195
10006,7530
100060,4750
100061,9481
100062,30251
100063,24237
100064,20211
100065,12657
100066,4412
100067,8268
100068,19174
100069,14209
10007,8727
100070,12147
100071,6367
100072,4763
100073,5570
100074,12539
100075,17090
100076,15837
100077,6614
100078,23723
100079,19638
10008,19702
100080,30716
100081,27374
100082,28613
100083,24242
100084,26058
100085,26815
100086,26634
100087,8861
100088,6126
100089,21627
10009,24239
100090,13145
100091,5978
100092,74
100093,16958
100094,9338
100095,26198
100096,29876
100097,5696
100098,21942
100099,17356
1001,19174
10010,24737
100100,24260
100101,10188
100102,14911
100103,14990
100104,16782
100105,1048
100106,1870
100107,21370
100108,25584
100109,21104
10011,19769
100110,16877
100111,13794
100112,5307
100113,9589
100114,28648
100115,4812
100116,874
100117,24248
100118,4565
100119,24260
10012,27397
100120,7982
100121,21628
100122,21126
100123,30196
100124,30407
100125,7530
100126,8844
100127,7900
100128,4210
100129,19203
10013,15434
100130,16331
100131,7232
100132,4948
100133,23208
100134,10923
100135,1097
100136,26731
100137,842
100138,23511
100139,13183
10014,30951
100140,8804
100141,20375
100142,17770
100143,25777
100144,1874
100145,25870
100146,10848
100147,15479
100148,30701
100149,10606
10015,9459
100150,27911
100151,1302
100152,7959
100153,31940
100154,22410
100155,23220
100156,2772
100157,12385
100158,21126
100159,21430
10016,16063
100160,25688
100161,14767
100162,25643
100163,4757
100164,7784
100165,17356
100166,11549
100167,17271
100168,6957
100169,12870
10017,25482
100170,23208
100171,16075
100172,27157
100173,24247
100174,15327
100175,17869
100176,9821
100177,18536
100178,56
100179,27842
10018,16429
100180,12700
100181,27171
100182,13883
100183,23394
100184,21125
100185,24174
100186,16747
100187,30622
100188,2856
100189,11752
