Id,Predicted
0,11956
1,23996
10,27210
100,23996
1000,23996
10000,23996
100000,23996
100001,12667
100002,11956
100003,23996
100004,11956
100005,31727
100006,12667
100007,12667
100008,23996
100009,21452
10001,23996
100010,8899
100011,21452
100012,23996
100013,23996
100014,27280
100015,23996
100016,23996
100017,12631
100018,29818
100019,23996
10002,23996
100020,11956
100021,23996
100022,21452
100023,23996
100024,23996
100025,27280
100026,23996
100027,16047
100028,8899
100029,23996
10003,21452
100030,23996
100031,15648
100032,23996
100033,23996
100034,11956
100035,23996
100036,15648
100037,23996
100038,11956
100039,21452
10004,21452
100040,21452
100041,23996
100042,25437
100043,21452
100044,11956
100045,27280
100046,21452
100047,16047
100048,23996
100049,12667
10005,23996
100050,21452
100051,21452
100052,23996
100053,23996
100054,20027
100055,23996
100056,23996
100057,23996
100058,23996
100059,21452
10006,20666
100060,21452
100061,23996
100062,31727
100063,23996
100064,27280
100065,11956
100066,21452
100067,21452
100068,15648
100069,27360
10007,21452
100070,23996
100071,11956
100072,20666
100073,17077
100074,31727
100075,21452
100076,31727
100077,1435
100078,15648
100079,23996
10008,21452
100080,21452
100081,27280
100082,21452
100083,11956
100084,11956
100085,23996
100086,21452
100087,23996
100088,23996
100089,21452
10009,16863
100090,11956
100091,21452
100092,11956
100093,21452
100094,31727
100095,11956
100096,23996
100097,21452
100098,23996
100099,31727
1001,21452
10010,21452
100100,296
100101,21452
100102,31727
100103,15648
100104,23996
100105,21452
100106,21452
100107,11956
100108,23996
100109,16863
10011,23996
100110,27365
100111,15648
100112,21452
100113,21452
100114,11956
100115,29818
100116,29818
100117,11956
100118,21452
100119,11956
10012,23996
100120,20666
100121,21452
100122,21452
100123,12667
100124,23996
100125,21452
100126,21452
100127,11956
100128,31727
100129,21452
10013,27280
100130,11956
100131,31727
100132,27360
100133,21452
100134,11956
100135,15648
100136,20666
100137,15648
100138,23996
100139,16692
10014,977
100140,11956
100141,21452
100142,31727
100143,23996
100144,21452
100145,21452
100146,23996
100147,31727
100148,15648
100149,15648
10015,15648
100150,30707
100151,23996
100152,29656
100153,20666
100154,21452
100155,23996
100156,21452
100157,21452
100158,31727
100159,23996
10016,31727
100160,11956
100161,23996
100162,16047
100163,11956
100164,20666
100165,27280
100166,23996
100167,31727
100168,11956
100169,11956
10017,11956
100170,11956
100171,23996
100172,23996
100173,11956
100174,21452
100175,27280
100176,21452
100177,21452
100178,28361
100179,11956
10018,23996
100180,21452
100181,27280
100182,11956
100183,23996
100184,21452
100185,31727
100186,20666
100187,28361
100188,27280
100189,23996
10019,16863
100190,29818
100191,21452
100192,23996
100193,23996
100194,11956
100195,16692
100196,27280
100197,21452
100198,23996
100199,23996
1002,11956
10020,23996
100200,22594
100201,21452
100202,21452
100203,31727
100204,20666
100205,11956
100206,31727
100207,27280
100208,23996
100209,23996
10021,8899
100210,11956
100211,11956
100212,23996
100213,23996
100214,20666
100215,23996
100216,16047
100217,15648
100218,31727
100219,21452
10022,23996
100220,11956
100221,27280
100222,21452
100223,8899
100224,27280
100225,16692
100226,16047
100227,21452
100228,21452
100229,23996
10023,29818
100230,11956
100231,21452
100232,16863
100233,2348
100234,8899
100235,29818
100236,23996
100237,27280
100238,21452
100239,21452
10024,21452
100240,11956
100241,20666
100242,15648
100243,31727
100244,11956
100245,23996
100246,16692
100247,31727
100248,21452
100249,12667
10025,23996
100250,20666
100251,11956
100252,21452
100253,23996
100254,23996
100255,21452
100256,23996
100257,23996
100258,1435
100259,21452
10026,11956
100260,12667
100261,15648
100262,31727
100263,15648
100264,31727
100265,15648
100266,21452
100267,17077
100268,11956
100269,23996
10027,15648
100270,23996
100271,21452
100272,21452
100273,21452
100274,23996
100275,23996
100276,23996
100277,11956
100278,23996
100279,11956
10028,23996
100280,12667
100281,21452
100282,23996
100283,31727
100284,11956
100285,23996
100286,11956
100287,23996
100288,21452
