Id,Predicted
0,13551
1,1450
10,18471
100,31353
1000,5431
10000,26383
100000,16574
100001,4020
100002,11892
100003,25789
100004,16267
100005,23769
100006,2220
100007,688
100008,26209
100009,15415
10001,29178
100010,16786
100011,199
100012,20424
100013,12207
100014,20274
100015,8855
100016,10719
100017,13641
100018,15210
100019,28321
10002,5353
100020,15129
100021,17863
100022,25407
100023,8277
100024,16513
100025,22800
100026,21037
100027,24085
100028,13849
100029,16140
10003,20180
100030,8730
100031,18598
100032,3211
100033,28124
100034,28654
100035,22942
100036,8284
100037,21408
100038,6318
100039,20172
10004,18107
100040,6975
100041,19965
100042,18375
100043,12928
100044,24888
100045,31777
100046,23474
100047,26055
100048,16180
100049,14289
10005,20623
100050,1245
100051,160
100052,21996
100053,3398
100054,12950
100055,5843
100056,8629
100057,2278
100058,24052
100059,26691
10006,27018
100060,4749
100061,10363
100062,23769
100063,318
100064,9267
100065,12657
100066,4412
100067,11169
100068,8918
100069,20843
10007,8727
100070,15424
100071,26661
100072,15728
100073,31433
100074,12539
100075,19374
100076,30079
100077,31970
100078,23723
100079,10253
10008,7162
100080,30716
100081,21353
100082,8983
100083,9652
100084,4185
100085,7253
100086,26636
100087,577
100088,6126
100089,8554
10009,24237
100090,13146
100091,5978
100092,21440
100093,1283
100094,29876
100095,26198
100096,18906
100097,5696
100098,1174
100099,1166
1001,28784
10010,24763
100100,8490
100101,8685
100102,400
100103,14990
100104,22638
100105,1048
100106,23771
100107,21353
100108,8384
100109,8160
10011,19769
100110,1192
100111,26260
100112,5358
100113,9569
100114,28662
100115,5018
100116,877
100117,22554
100118,15702
100119,8606
10012,27399
100120,27007
100121,5852
100122,19826
100123,4200
100124,1321
100125,6905
100126,8844
100127,19469
100128,9540
100129,24888
10013,16877
100130,8685
100131,7232
100132,31008
100133,235
100134,26691
100135,11556
100136,27007
100137,840
100138,15124
100139,13185
10014,3700
100140,427
100141,23474
100142,31209
100143,9464
100144,31405
100145,89
100146,10818
100147,15479
100148,30701
100149,750
10015,25339
100150,28015
100151,1321
100152,6449
100153,19192
100154,19150
100155,21808
100156,6257
100157,31025
100158,20006
100159,21430
10016,3478
100160,25676
100161,17643
100162,25523
100163,22767
100164,7784
100165,28111
100166,11549
100167,9652
100168,20760
100169,12870
10017,31843
100170,31785
100171,10884
100172,602
100173,12114
100174,15327
100175,30748
100176,30716
100177,22445
100178,18045
100179,27836
10018,4039
100180,12700
100181,27220
100182,13882
100183,16569
100184,21014
100185,11040
100186,25394
100187,7873
100188,17072
100189,21955
10019,17863
100190,23710
100191,29644
100192,384
100193,7288
100194,16509
100195,9399
100196,8126
100197,30670
100198,20854
100199,29451
1002,30293
10020,7804
100200,2267
100201,4951
100202,19921
100203,12548
100204,17871
100205,31766
100206,6580
100207,5975
100208,22264
100209,24005
10021,6507
100210,26390
100211,18506
100212,7579
100213,4664
100214,13624
100215,5378
100216,11173
100217,30797
100218,22638
100219,24677
10022,15503
100220,11752
100221,12617
100222,21799
100223,30644
100224,18382
100225,25597
100226,8998
100227,17671
100228,2731
100229,22037
10023,14980
100230,29601
100231,27754
100232,6666
100233,18293
100234,24519
100235,4895
100236,2474
100237,29717
100238,5649
100239,9880
10024,24264
100240,4635
100241,19192
100242,26432
100243,5227
100244,8744
100245,9540
100246,12158
100247,19224
100248,14039
100249,9880
10025,26028
100250,29042
100251,8671
100252,27454
100253,18958
100254,21087
100255,29387
100256,19964
100257,4184
100258,6684
100259,21447
10026,12683
100260,6201
100261,3688
100262,6976
100263,20670
100264,1973
100265,30529
100266,19305
100267,9480
100268,24005
100269,5126
10027,4949
100270,21794
100271,9652
100272,9480
100273,14499
100274,11300
100275,26782
100276,10961
100277,5236
100278,25355
100279,26350
10028,30733
100280,29750
100281,8374
100282,16068
100283,17733
100284,13467
100285,27252
100286,5760
100287,21799
100288,3845
100289,28228
10029,11319
100290,31746
100291,5512
100292,22729
100293,20138
100294,8906
100295,15906
100296,32072
100297,12643
100298,29499
100299,24944
1003,24897
10030,29173
100300,25655
100301,20674
100302,31008
100303,18375
100304,18709
100305,4684
100306,28394
100307,24898
100308,26350
100309,27737
10031,8370
100310,15511
100311,30604
100312,16355
100313,2626
100314,2811
100315,8307
100316,20
100317,22106
100318,14213
100319,6975
10032,25061
100320,12494
100321,16355
100322,26412
100323,10505
100324,25229
100325,13079
100326,5156
100327,24153
100328,20867
100329,25483
10033,3070
100330,30628
100331,14437
100332,16390
100333,26340
100334,19995
100335,30660
100336,20823
100337,17232
100338,25893
100339,13374
10034,11172
100340,31315
100341,12817
100342,31429
100343,7761
100344,7672
100345,11825
100346,19235
100347,18600
100348,7240
100349,28491
10035,5922
100350,16355
100351,10882
100352,26811
100353,2596
100354,16511
100355,8319
100356,3700
100357,19012
100358,7619
100359,17698
10036,8141
100360,12751
100361,23801
100362,10339
100363,5177
100364,1942
100365,1367
100366,28043
100367,23548
100368,8475
100369,2442
10037,9598
100370,29638
100371,22088
100372,7761
100373,7154
100374,3903
100375,14221
100376,15888
100377,26107
100378,26973
100379,10902
10038,30473
100380,16637
100381,22074
100382,14107
100383,28111
100384,6449
100385,19965
100386,19686
100387,13931
100388,21794
100389,12650
10039,28522
100390,24748
100391,4731
100392,9629
100393,8275
100394,15437
100395,975
100396,20175
100397,11899
100398,2047
100399,10354
1004,25427
10040,10353
100400,11804
100401,23460
100402,15158
100403,23220
100404,13204
100405,30232
100406,22038
100407,3951
100408,20723
100409,31971
10041,15409
100410,1775
100411,22722
100412,21390
100413,8623
100414,4941
100415,29934
100416,24898
100417,30690
100418,21007
100419,6034
10042,16934
100420,24301
100421,23322
100422,9835
100423,29748
100424,15204
100425,5759
100426,19047
100427,25907
100428,11221
100429,23766
10043,19817
100430,1311
100431,27680
100432,7268
100433,31844
100434,17618
100435,10648
100436,30746
100437,12776
100438,17004
100439,23502
10044,10689
100440,24888
100441,16187
100442,2856
100443,197
100444,13689
100445,4697
100446,30446
100447,20382
100448,27478
100449,11548
10045,5943
100450,4765
100451,755
100452,23595
100453,4147
100454,29273
100455,8977
100456,22418
100457,29655
100458,23462
100459,7147
