Id,Predicted
0,23118
1,5301
10,23118
100,25233
1000,26620
10000,16803
100000,5657
100001,6858
100002,7141
100003,2158
100004,5177
100005,31043
100006,18506
100007,463
100008,25004
100009,4581
10001,6858
100010,3889
100011,23940
100012,31010
100013,12546
100014,159
100015,16803
100016,5444
100017,23118
100018,28784
100019,6983
10002,23118
100020,16821
100021,21197
100022,159
100023,6909
100024,13508
100025,5177
100026,8321
100027,8437
100028,22598
100029,12624
10003,22239
100030,24208
100031,4232
100032,11477
100033,23118
100034,12546
100035,2219
100036,4232
100037,8437
100038,1231
100039,16803
10004,5444
100040,23118
100041,2137
100042,31432
100043,3422
100044,5444
100045,11477
100046,18506
100047,8351
100048,23118
100049,3422
10005,23118
100050,163
100051,22941
100052,7509
100053,5169
100054,18424
100055,6909
100056,23718
100057,13183
100058,11931
100059,5177
10006,163
100060,24208
100061,3422
100062,9824
100063,16833
100064,29591
100065,24005
100066,4581
100067,8741
100068,6983
100069,18424
10007,8741
100070,23118
100071,9824
100072,4581
100073,23118
100074,31010
100075,6983
100076,163
100077,31010
100078,23713
100079,10823
10008,29591
100080,3422
100081,31193
100082,755
100083,22941
100084,12779
100085,5444
100086,6858
100087,163
100088,27871
100089,4581
10009,163
100090,29591
100091,31010
100092,22941
100093,31010
100094,24888
100095,12546
100096,16803
100097,6909
100098,22064
100099,12122
1001,5054
10010,11477
100100,22941
100101,16803
100102,18506
100103,8741
100104,4232
100105,21796
100106,26620
100107,11477
100108,10240
100109,29591
10011,6909
100110,159
100111,25184
100112,163
100113,26620
100114,12546
100115,5054
100116,28559
100117,21197
100118,12624
100119,12546
10012,8437
100120,26620
100121,3422
100122,31043
100123,18503
100124,3730
100125,6983
100126,10240
100127,25184
100128,1155
100129,28559
10013,5177
100130,7509
100131,1231
100132,18424
100133,5177
100134,31432
100135,10606
100136,8741
100137,10823
100138,21197
100139,23940
10014,28784
100140,12546
100141,23461
100142,20542
100143,9824
100144,6983
100145,18503
100146,1231
100147,13183
100148,5444
100149,743
10015,11477
100150,12546
100151,23710
100152,29591
100153,29591
100154,23118
100155,7509
100156,159
100157,28569
100158,11936
100159,163
10016,11936
100160,11931
100161,16803
100162,8741
100163,12546
100164,10606
100165,23118
100166,1231
100167,23118
100168,18302
100169,12546
10017,163
100170,22803
100171,1231
100172,8741
100173,21796
100174,29823
100175,11936
100176,3422
100177,4581
100178,159
100179,163
10018,8437
100180,7509
100181,23118
100182,21197
100183,6983
100184,29591
100185,24208
100186,27839
100187,18424
100188,11936
100189,21197
10019,12546
100190,23710
100191,23118
100192,22941
100193,23118
100194,17077
100195,5177
100196,4661
100197,23940
100198,23710
100199,21197
1002,31432
10020,13508
100200,4581
100201,5054
