Id,Predicted
0,19486
1,8240
10,29591
100,27430
1000,5431
10000,870
100000,11931
100001,6858
100002,3587
100003,25787
100004,19815
100005,21996
100006,2219
100007,4633
100008,10279
100009,30250
10001,11931
100010,16783
100011,11073
100012,30630
100013,6454
100014,14857
100015,24967
100016,5444
100017,24585
100018,15209
100019,15213
10002,11931
100020,17260
100021,15063
100022,27430
100023,8309
100024,20429
100025,11931
100026,8338
100027,16045
100028,13850
100029,16143
10003,20180
100030,6594
100031,26693
100032,11931
100033,11931
100034,18199
100035,22948
100036,6515
100037,19010
100038,14467
100039,27548
10004,5221
100040,5444
100041,3441
100042,11931
100043,14267
100044,16577
100045,31775
100046,21700
100047,1302
100048,24506
100049,14267
10005,11931
100050,11931
100051,7267
100052,21996
100053,971
100054,12111
100055,5843
100056,11931
100057,12461
100058,4661
100059,27240
10006,11003
100060,4752
100061,5164
100062,24923
100063,16877
100064,9267
100065,13521
100066,6564
100067,4992
100068,10850
100069,20881
10007,8741
100070,23212
100071,26650
100072,15724
100073,11931
100074,16828
100075,24381
100076,30079
100077,31010
100078,23680
100079,5098
10008,27843
100080,30716
100081,11931
100082,29292
100083,23105
100084,9091
100085,7253
100086,28524
100087,15327
100088,6762
100089,600
10009,24237
100090,20830
100091,24005
100092,11931
100093,8685
100094,16523
100095,26183
100096,21453
100097,5702
100098,11335
100099,13445
1001,28784
10010,11931
100100,25428
100101,8685
100102,14110
100103,10261
100104,16779
100105,8877
100106,3695
100107,11931
100108,25476
100109,31324
10011,19769
100110,14688
100111,26779
100112,16331
100113,5431
100114,28662
100115,5046
100116,870
100117,11931
100118,14267
100119,13777
10012,27397
100120,3695
100121,22045
100122,8921
100123,5205
100124,4232
100125,6909
100126,5431
100127,13629
100128,1155
100129,4633
10013,11648
100130,8685
100131,4941
100132,20881
100133,27871
100134,13015
100135,11931
100136,27043
100137,3062
100138,11652
100139,17092
10014,16327
100140,18501
100141,11246
100142,1494
100143,16803
100144,24166
100145,19012
100146,10848
100147,25476
100148,6019
100149,11931
10015,11931
100150,27974
100151,1306
100152,71
100153,12423
100154,13728
100155,19607
100156,17467
100157,31025
100158,29591
100159,21423
10016,5444
100160,25676
100161,31193
100162,25503
100163,1941
100164,5696
100165,27821
100166,11550
100167,24569
100168,11931
100169,29081
10017,31818
100170,31114
100171,10878
100172,600
100173,12112
100174,15327
100175,30748
100176,30716
100177,7379
100178,11931
100179,27839
10018,19010
100180,12703
100181,11931
100182,11931
100183,31312
100184,7769
100185,4992
100186,22679
100187,17462
100188,17072
100189,11652
10019,20186
100190,23710
100191,19815
100192,30942
100193,13560
100194,16507
100195,11931
100196,8136
100197,20136
100198,10672
100199,11931
1002,11931
10020,25471
100200,2276
100201,4932
100202,6051
100203,20433
100204,2842
100205,13133
100206,738
100207,11931
100208,24544
100209,22070
10021,22941
100210,26403
100211,21942
100212,4232
100213,22439
100214,7173
100215,7210
100216,10961
100217,11397
100218,8661
100219,11067
10022,30900
100220,3324
100221,6121
100222,27839
100223,30661
100224,11931
100225,26685
100226,11931
100227,29300
100228,20847
100229,20654
10023,14980
100230,6493
100231,8877
100232,11931
100233,11931
100234,12551
100235,4932
100236,11931
100237,29717
100238,7203
100239,23888
10024,24263
100240,11931
100241,1945
100242,26432
100243,5245
100244,8298
100245,30578
100246,28550
100247,11551
100248,7459
100249,12546
10025,463
100250,26848
100251,6072
100252,3396
100253,26183
100254,16726
100255,22909
100256,29337
100257,28317
100258,6673
100259,3062
10026,5201
100260,11169
100261,11931
100262,22558
100263,20646
100264,7253
100265,29803
100266,23677
100267,29591
100268,21500
100269,27854
10027,4874
100270,3072
100271,12546
100272,13074
100273,16805
100274,5301
100275,297
100276,24166
100277,3128
100278,25128
100279,28314
10028,3159
100280,29748
100281,12167
100282,27321
100283,6873
100284,11931
100285,27252
100286,5759
100287,21796
100288,3845
100289,142
10029,18424
100290,24544
100291,8725
100292,25159
100293,20136
100294,13512
100295,15906
100296,1058
100297,26035
100298,29499
100299,2467
1003,8821
10030,15888
100300,25667
100301,28473
100302,6654
100303,77
100304,24783
100305,11931
100306,11931
100307,1650
100308,11931
100309,11931
10031,11172
100310,142
100311,30918
100312,4661
100313,2632
100314,2241
100315,8309
100316,11931
100317,142
100318,15402
100319,3404
10032,12168
100320,12480
100321,25027
100322,26183
100323,22640
100324,25229
100325,25250
100326,7250
100327,5542
100328,8321
100329,8205
10033,27430
100330,9473
100331,14437
100332,16355
100333,20594
100334,9727
100335,6596
100336,20830
100337,21962
100338,31316
100339,31154
10034,10248
100340,31315
100341,12325
100342,30578
100343,7761
100344,29591
100345,25871
100346,18389
100347,18600
100348,20433
100349,3106
10035,28520
100350,19629
100351,7233
100352,23485
100353,2589
100354,2247
100355,27691
100356,14945
100357,19012
100358,23485
100359,11931
10036,8136
100360,20881
100361,22598
100362,10338
100363,21241
100364,1941
100365,1367
100366,11931
100367,4658
100368,22780
100369,2442
10037,9594
100370,29638
100371,21690
100372,16331
100373,3721
100374,12768
100375,11931
100376,15888
100377,26107
100378,6493
100379,7221
10038,19453
100380,26183
100381,22073
100382,15631
100383,944
100384,27839
100385,858
100386,19691
100387,11931
100388,5276
100389,11931
10039,11931
100390,24779
100391,13015
100392,28399
100393,10240
100394,8898
100395,977
100396,20166
100397,16529
100398,2047
100399,11936
1004,23099
10040,5593
100400,11804
100401,23473
100402,29386
100403,26107
100404,11931
100405,11931
100406,2742
100407,15931
100408,16327
100409,1206
10041,18983
100410,1763
100411,25159
100412,1324
100413,11931
100414,4901
100415,474
100416,23394
100417,6466
100418,23505
100419,7987
10042,16934
100420,24248
100421,11931
100422,22383
100423,29750
100424,11931
100425,5759
100426,18983
100427,25927
100428,11216
100429,1192
10043,11931
100430,1320
100431,24017
100432,20433
100433,10877
100434,30578
100435,11931
100436,29274
100437,12771
100438,13978
100439,23765
10044,11931
100440,600
100441,29178
100442,2856
100443,13560
100444,13689
100445,6072
100446,21680
100447,24340
100448,7796
100449,6398
10045,18906
100450,30682
100451,11931
100452,11931
100453,25718
100454,31321
100455,8977
100456,22354
100457,29655
100458,23457
100459,24569
10046,22598
100460,19176
100461,19010
100462,30467
100463,28573
100464,15646
100465,2841
100466,10702
100467,3402
100468,11402
100469,4272
10047,25285
100470,21489
100471,20881
100472,11931
100473,5851
100474,31409
100475,6445
100476,23758
100477,31367
100478,2018
100479,25360
10048,15170
100480,5054
100481,22941
100482,15724
100483,17133
100484,20922
100485,12111
100486,11931
100487,12694
100488,24141
100489,29648
10049,30425
100490,10230
100491,13834
100492,3128
100493,5174
100494,11931
100495,11931
100496,5843
100497,19927
100498,6496
100499,19978
1005,3106
10050,11931
100500,19680
100501,13889
100502,11931
100503,11931
100504,11931
100505,26044
100506,5839
100507,21700
100508,25927
100509,11931
10051,3933
100510,31193
100511,2714
100512,6445
100513,10878
100514,16652
100515,26183
100516,158
100517,19815
100518,11931
100519,31003
10052,17861
100520,29178
100521,30091
100522,17880
100523,30305
100524,7761
100525,476
100526,26044
100527,16833
100528,7854
100529,3609
10053,11931
100530,11931
100531,3933
100532,1127
100533,11020
100534,15209
100535,15910
100536,11477
100537,12768
100538,8660
100539,31010
10054,11931
100540,18956
100541,23180
100542,30642
100543,11931
100544,26346
100545,7519
100546,25525
100547,17467
100548,5307
100549,22883
10055,5633
100550,6466
100551,3128
100552,25471
100553,8839
100554,2947
100555,3915
100556,24544
100557,24905
100558,20939
100559,15504
10056,11931
100560,10002
100561,20014
100562,10240
100563,14159
100564,30337
100565,11931
100566,11931
100567,28550
100568,13560
100569,30331
10057,11931
100570,27089
100571,1130
100572,6553
100573,5913
100574,11931
100575,29591
100576,27373
100577,28573
100578,3580
100579,6398
10058,16175
100580,24779
100581,1040
100582,5221
100583,24951
100584,159
100585,5797
100586,19671
100587,26159
100588,25559
100589,5444
10059,21754
100590,12546
100591,2637
100592,22640
100593,12173
100594,19903
100595,30898
100596,11931
100597,31227
100598,11931
100599,25250
1006,4661
10060,9663
100600,25428
100601,30446
100602,14980
100603,23394
100604,17076
100605,9326
100606,11931
100607,26035
100608,30091
100609,15899
10061,30749
100610,25160
100611,28314
100612,31206
100613,20424
100614,11931
100615,29819
100616,30681
100617,6072
100618,7278
100619,23558
10062,15209
100620,10246
100621,11134
100622,1346
100623,11931
100624,26613
100625,22205
100626,30578
100627,22558
100628,9829
100629,7173
10063,28491
100630,11931
100631,19880
100632,6442
100633,11499
100634,26995
100635,14714
100636,9662
100637,8561
100638,17521
100639,20136
10064,9328
100640,15427
100641,28474
100642,4932
100643,15397
100644,11931
100645,11931
100646,11931
100647,1306
100648,380
100649,7253
10065,28870
100650,11931
100651,11931
100652,10656
100653,25160
100654,12546
100655,12609
100656,16805
100657,16187
100658,30704
100659,1941
10066,22064
100660,23555
100661,24569
100662,16179
100663,11931
100664,20421
100665,23172
100666,5177
100667,2589
100668,23677
100669,1697
10067,26637
100670,11931
100671,26311
100672,23505
100673,4355
100674,4830
100675,2467
100676,9483
100677,22920
100678,11931
100679,28468
10068,12494
100680,22268
100681,24846
100682,23172
100683,25476
100684,4315
100685,11931
100686,19851
100687,20881
100688,14623
100689,10261
10069,4901
100690,11931
100691,5444
100692,20594
100693,29380
100694,7519
100695,23911
100696,4328
100697,4966
100698,22776
100699,11861
1007,16944
10070,10759
100700,21367
100701,30091
100702,13560
100703,6025
100704,10793
100705,7542
100706,8358
100707,11931
100708,16095
100709,3580
10071,21942
100710,5567
100711,8485
100712,16179
100713,27430
100714,11931
100715,7250
100716,10618
100717,12423
100718,14569
100719,17160
10072,26183
100720,3396
100721,2782
100722,2721
100723,6322
100724,24204
100725,25851
100726,27321
100727,31419
100728,6496
100729,2735
10073,14267
100730,7250
100731,23897
100732,11931
100733,4901
100734,23505
100735,26950
100736,30438
100737,4766
100738,19880
100739,29912
10074,29173
100740,196
100741,2136
100742,18997
100743,2937
100744,8661
100745,14873
100746,16786
100747,11931
100748,28524
100749,5839
10075,14828
100750,2666
100751,27240
100752,25504
100753,7253
100754,7378
100755,22507
100756,9757
100757,26570
100758,7308
100759,31716
10076,16698
100760,2371
100761,1330
100762,747
100763,9662
100764,3475
100765,15293
100766,22489
100767,29591
100768,11931
100769,14243
10077,30337
100770,23760
100771,7221
100772,19627
100773,11931
100774,2842
100775,11931
100776,5115
100777,2633
100778,10832
100779,10685
10078,494
100780,11931
100781,23477
100782,2345
100783,12229
100784,25510
100785,476
100786,11931
100787,3128
100788,7931
100789,22528
10079,12423
100790,1302
100791,19453
100792,3624
100793,19441
100794,17267
100795,3551
100796,24038
100797,29591
100798,27614
100799,22558
1008,2442
10080,5063
100800,16133
100801,2721
100802,31048
100803,11931
100804,11067
100805,13848
100806,20363
100807,31193
100808,3128
100809,16821
10081,9699
100810,29386
100811,22780
100812,30942
100813,161
100814,13031
100815,11931
100816,11931
100817,14267
100818,29404
100819,26753
10082,1108
100820,21092
100821,19880
100822,15983
100823,5221
100824,14980
100825,16240
100826,29178
100827,29388
100828,29819
100829,17598
10083,29591
100830,16504
100831,26442
100832,29474
100833,29300
100834,25461
100835,31775
100836,23823
100837,2421
100838,7931
100839,14795
10084,24923
100840,30720
100841,4232
100842,23521
100843,4933
100844,26779
100845,16419
100846,13146
100847,23099
100848,8741
100849,4532
10085,31379
100850,20851
100851,22138
100852,22948
100853,11931
100854,15004
100855,18199
100856,2467
100857,5063
100858,27839
100859,5702
10086,29446
100860,137
100861,11931
100862,1434
100863,20881
100864,7758
100865,17338
100866,6496
100867,77
100868,29591
100869,3422
10087,24421
100870,10240
100871,30898
100872,2467
100873,12756
100874,28552
100875,1564
100876,15646
100877,25319
100878,6482
100879,9328
10088,4403
100880,11931
100881,16805
100882,13625
100883,628
100884,4876
100885,23799
100886,11931
100887,31312
100888,23521
100889,26095
10089,14337
100890,11931
100891,29647
100892,14831
100893,16339
100894,12624
100895,11465
100896,25428
100897,27604
100898,11931
100899,13616
1009,16533
10090,26785
100900,9328
100901,4586
100902,15584
100903,26553
100904,30806
100905,11372
100906,23521
100907,11931
100908,25188
100909,883
10091,4004
100910,2529
100911,10225
100912,31775
100913,8839
100914,12445
100915,14857
100916,20646
100917,17338
100918,15109
100919,12445
10092,8311
100920,20253
100921,21364
100922,21455
100923,2764
100924,4987
100925,25142
100926,25285
100927,5444
100928,25027
100929,14945
10093,4867
100930,30898
100931,11931
100932,30879
100933,3580
100934,12779
100935,933
100936,22598
100937,7173
100938,6607
100939,10434
10094,25399
100940,31028
100941,21092
100942,34
100943,10046
100944,21405
100945,6072
100946,10113
100947,9477
100948,24142
100949,196
10095,2467
100950,18994
100951,16803
100952,15397
100953,29300
100954,4901
100955,30648
100956,22290
100957,13834
100958,3568
100959,11931
10096,11931
100960,23509
100961,11931
100962,22521
100963,27871
100964,28111
100965,7522
100966,10656
100967,23868
100968,24141
100969,2842
10097,11931
100970,7987
100971,21901
100972,6445
100973,15401
100974,13343
100975,6899
100976,9511
100977,25546
100978,26432
100979,5301
10098,31154
100980,29437
100981,30011
100982,10225
100983,11931
100984,29295
100985,27186
100986,5301
100987,1321
100988,11436
100989,11931
10099,4992
100990,31432
100991,5211
100992,4661
100993,29081
100994,26570
100995,6402
100996,11931
100997,16711
100998,24420
100999,24031
101,21942
1010,16377
10100,30088
101000,31978
101001,4232
101002,27411
101003,10871
101004,10225
101005,27871
101006,29591
101007,6919
101008,16255
101009,14551
10101,11931
101010,5205
101011,2219
101012,26816
101013,747
101014,11931
101015,23723
101016,19825
101017,27614
101018,26074
101019,15158
10102,8877
101020,4987
101021,11931
101022,476
101023,2176
101024,20638
101025,30365
101026,24714
101027,26841
101028,15394
101029,23212
10103,6858
101030,23794
101031,14623
101032,8396
101033,16240
101034,4901
101035,11931
101036,13689
101037,19595
101038,6026
101039,3370
10104,23105
101040,24627
101041,20594
101042,26311
101043,23480
101044,11931
101045,3568
101046,20972
101047,16803
101048,11931
101049,11931
10105,10595
101050,11931
101051,22539
101052,10651
101053,29640
101054,8889
101055,21399
101056,7173
101057,19880
101058,26785
101059,12779
10106,25786
101060,7900
101061,24569
101062,6402
101063,28946
101064,29639
101065,17078
101066,16845
101067,16010
101068,11931
101069,28754
10107,10046
101070,11931
101071,29648
101072,23710
101073,23207
101074,11931
101075,11931
101076,28512
101077,7419
101078,7089
101079,5115
10108,12489
101080,26785
101081,17003
101082,28552
101083,5115
101084,27228
101085,25631
101086,10651
101087,3106
101088,4942
101089,30898
10109,16822
101090,11931
101091,11931
101092,7233
101093,29854
101094,2421
101095,6540
101096,20304
101097,4992
101098,30091
101099,8741
1011,32018
10110,11931
101100,11931
101101,27055
101102,12008
101103,20198
101104,15668
101105,5301
101106,22598
101107,4598
101108,2165
101109,12546
10111,883
101110,3609
101111,25559
101112,12173
101113,20031
101114,8997
101115,10338
101116,25428
101117,7900
101118,10358
101119,20774
10112,30708
101120,6051
101121,3396
101122,29388
101123,8554
101124,32027
101125,10878
101126,19815
101127,11931
101128,26317
101129,16531
10113,5205
101130,29300
101131,27532
101132,1590
101133,26920
101134,20881
101135,11931
101136,17338
101137,26167
101138,23740
101139,2143
10114,11931
101140,18598
101141,13
101142,11931
101143,5444
101144,30970
101145,26095
101146,152
101147,15436
101148,8661
101149,19316
10115,9258
101150,11931
101151,17783
101152,13067
101153,29640
101154,17887
101155,6899
101156,20847
101157,11931
101158,18598
101159,9477
10116,8685
101160,5444
101161,18424
101162,14551
101163,30819
101164,27411
101165,24631
101166,23505
101167,16926
101168,8298
101169,31010
10117,7250
101170,30540
101171,19880
101172,11931
101173,22558
101174,30003
101175,30440
101176,28474
101177,868
101178,16032
101179,870
10118,14775
101180,29081
101181,24627
101182,1858
101183,25233
101184,27239
101185,2714
101186,25027
101187,11931
101188,24263
101189,13605
10119,18397
101190,20608
101191,21453
101192,16175
101193,16822
101194,16179
101195,3324
101196,10119
101197,24157
101198,30145
101199,11931
1012,31506
10120,26444
101200,8685
101201,10576
101202,17078
101203,11931
101204,8075
101205,12863
101206,14945
101207,31321
101208,26035
101209,16698
10121,5054
101210,15410
101211,26650
101212,18262
101213,9084
101214,5446
101215,28443
101216,34
101217,6586
101218,12669
101219,11931
10122,13968
101220,4112
101221,29300
101222,7522
101223,15394
101224,9255
101225,9986
101226,17076
101227,31336
101228,30681
101229,1324
10123,16698
101230,4804
101231,16377
101232,10618
101233,18956
101234,11931
101235,31041
101236,12610
101237,3324
101238,2421
101239,1825
10124,4525
101240,6496
101241,11037
101242,3973
101243,19689
101244,3568
101245,8741
101246,22952
101247,10779
101248,13947
101249,25556
10125,24859
101250,3725
101251,10871
101252,16010
101253,16821
101254,11804
101255,11931
101256,7565
101257,11931
101258,17610
101259,13364
10126,8921
101260,19385
101261,8822
101262,28524
101263,8685
101264,17727
101265,26444
101266,21453
101267,16202
101268,31885
101269,28872
10127,13968
101270,11328
101271,11018
101272,5520
101273,21397
101274,19662
101275,29006
101276,14267
101277,29301
101278,16577
101279,974
10128,2721
101280,16175
101281,22640
101282,3580
101283,11931
101284,10222
101285,19012
101286,19978
101287,11931
101288,142
101289,10308
10129,15558
101290,11931
101291,16615
101292,30091
101293,17294
101294,10039
101295,23558
101296,21643
101297,11931
101298,31716
101299,11931
1013,12459
10130,16867
101300,8516
101301,30636
101302,17552
101303,31411
101304,18199
101305,11335
101306,11931
101307,6442
101308,19626
101309,11014
10131,6762
101310,1367
101311,11652
101312,736
101313,10220
101314,8437
101315,24248
101316,155
101317,5221
101318,12535
101319,29591
10132,24743
101320,20131
101321,11037
101322,3416
101323,30440
101324,30752
101325,25247
101326,19017
101327,30806
101328,11931
101329,19256
10133,11931
101330,11328
101331,17037
101332,5076
101333,747
101334,7173
101335,16339
101336,14579
101337,19691
101338,15685
101339,11931
10134,11931
101340,20680
101341,432
101342,24829
101343,11931
101344,2742
101345,13482
101346,15004
101347,30258
101348,7199
101349,15394
10135,6466
101350,23521
101351,26753
101352,1222
101353,24569
101354,14101
101355,26336
101356,1143
101357,2603
101358,16202
101359,25471
10136,23888
101360,71
101361,10793
101362,19012
101363,21996
101364,11931
101365,25051
101366,785
101367,29414
101368,23766
101369,11860
10137,31301
101370,20592
101371,28314
101372,13089
101373,2793
101374,600
101375,1324
101376,18997
101377,24898
101378,11931
101379,31982
10138,22971
101380,11931
101381,20931
101382,24974
101383,11931
101384,18680
101385,11128
101386,25498
101387,2841
101388,15906
101389,11931
10139,29957
101390,25428
101391,26403
101392,14267
101393,24898
101394,14914
101395,11931
101396,11931
101397,27031
101398,2241
101399,6092
1014,19903
10140,6449
101400,2267
101401,24141
101402,13975
101403,15664
101404,7794
101405,1311
101406,20017
101407,16649
101408,5054
101409,11276
10141,11931
101410,16523
101411,13560
101412,12667
101413,12551
101414,3242
101415,25787
101416,8437
101417,15019
101418,23996
101419,29301
10142,15652
101420,6445
101421,11931
101422,16337
101423,24676
101424,13168
101425,31054
101426,2467
101427,158
101428,12111
101429,1141
10143,11931
101430,26183
101431,20433
101432,8205
101433,10871
101434,6507
101435,6596
101436,7900
101437,11931
101438,24342
101439,8304
10144,22768
101440,23795
101441,3411
101442,3128
101443,16821
101444,22440
101445,3568
101446,11860
101447,11931
101448,6496
101449,4525
10145,7173
101450,11931
101451,29178
101452,489
101453,10761
101454,25004
101455,1367
101456,8338
101457,30901
101458,26261
101459,297
10146,27871
101460,3324
101461,22070
101462,29591
101463,16803
101464,14930
101465,8932
101466,31948
101467,12562
101468,4962
101469,14825
10147,11037
101470,31736
101471,19691
101472,11931
101473,11931
101474,4693
101475,10230
101476,26183
101477,31312
101478,2274
101479,20808
10148,31043
101480,9477
101481,6858
101482,1300
101483,22528
101484,10685
101485,10826
101486,11931
101487,24967
101488,4661
101489,8716
10149,26232
101490,6068
101491,870
101492,7221
101493,1302
101494,8437
101495,9326
101496,21913
101497,27735
101498,26143
101499,14551
1015,12111
10150,8661
101500,8741
101501,31010
101502,5379
101503,4581
101504,25476
101505,16010
101506,11931
101507,11335
101508,25329
101509,2371
10151,747
101510,3416
101511,20422
101512,2219
101513,10618
101514,11013
101515,13012
101516,11931
101517,31325
101518,2721
101519,10669
10152,19851
101520,11931
101521,1215
101522,11931
101523,5444
101524,27447
101525,28483
101526,29287
101527,9328
101528,24951
101529,12489
10153,10848
101530,3757
101531,25471
101532,11824
101533,11931
101534,5444
101535,26183
101536,8041
101537,28542
101538,27843
101539,20421
10154,12533
101540,7222
101541,22948
101542,1997
101543,17651
101544,1389
101545,1346
101546,11931
101547,16377
101548,10230
101549,27240
10155,11931
101550,10272
101551,30458
101552,11931
101553,15648
101554,11067
101555,21528
101556,30108
101557,3324
101558,7931
101559,14132
10156,15479
101560,27373
101561,29975
101562,22941
101563,2467
101564,11931
101565,26095
101566,30819
101567,149
101568,22045
101569,4658
10157,11931
101570,6454
101571,28555
101572,11931
101573,28323
101574,31206
101575,1218
101576,10248
101577,29081
101578,10002
101579,17675
10158,716
101580,11931
101581,2467
101582,77
101583,16507
101584,11931
101585,2917
101586,12730
101587,18997
101588,27506
101589,13616
10159,30507
101590,19578
101591,14247
101592,25428
101593,29912
101594,16821
101595,11862
101596,11931
101597,29664
101598,6562
101599,13689
1016,14372
10160,21996
101600,10871
101601,7573
101602,5643
101603,19689
101604,20161
101605,28792
101606,5115
101607,870
101608,10916
101609,11931
10161,6515
101610,11931
101611,370
101612,4793
101613,2742
101614,23760
101615,5643
101616,31432
101617,14714
101618,26439
101619,27169
10162,476
101620,5205
101621,26035
101622,11931
101623,28604
101624,5098
101625,16504
101626,4901
101627,28573
101628,23452
101629,10652
10163,3239
101630,27336
101631,16377
101632,11931
101633,30440
101634,21754
101635,28415
101636,14636
101637,20881
101638,15170
101639,23099
10164,6496
101640,1682
101641,31725
101642,13425
101643,31506
101644,10
101645,18199
101646,26920
101647,11931
101648,13157
101649,9252
10165,28483
101650,25247
101651,13616
101652,13444
101653,25407
101654,23105
101655,14159
101656,10198
101657,22969
101658,6126
101659,27008
10166,22354
101660,24846
101661,16698
101662,16408
101663,22598
101664,11931
101665,16121
101666,30898
101667,16850
101668,23083
101669,16615
10167,11014
101670,26313
101671,31419
101672,29386
101673,32010
101674,26210
101675,14354
101676,28329
101677,11931
101678,6899
101679,1222
10168,7250
101680,16010
101681,14945
101682,31733
101683,22355
101684,9417
101685,11931
101686,6089
101687,25630
101688,20363
101689,22948
10169,19887
101690,974
101691,30091
101692,19139
101693,5913
101694,8652
101695,5662
101696,19936
101697,2442
101698,16821
101699,11931
1017,1367
10170,4532
101700,11931
101701,11931
101702,23868
101703,11931
101704,27770
101705,10761
101706,13560
101707,13799
101708,11931
101709,6507
10171,17092
101710,29778
101711,24985
101712,24157
101713,3324
101714,11931
101715,1206
101716,30942
101717,30578
101718,10261
101719,22539
10172,1831
101720,7250
101721,3372
101722,11931
101723,24829
101724,26644
101725,8769
101726,25660
101727,476
101728,34
101729,25877
10173,14885
101730,5788
101731,13512
101732,24718
101733,21796
101734,6993
101735,5046
101736,26995
101737,19039
101738,2841
101739,31310
10174,15384
101740,11931
101741,28364
101742,4932
101743,4241
101744,24866
101745,2020
101746,1344
101747,11931
101748,11931
101749,325
10175,22958
101750,13000
101751,10661
101752,15888
101753,24381
101754,1035
101755,26439
101756,10261
101757,11931
101758,30942
101759,13848
10176,26232
101760,9328
101761,10661
101762,22948
101763,16307
101764,5582
101765,20552
101766,30706
101767,1302
101768,24248
101769,227
10177,18018
101770,16981
101771,12453
101772,30642
101773,9872
101774,30041
101775,9252
101776,3415
101777,3422
101778,25186
101779,26095
10178,30331
101780,2659
101781,31725
101782,10813
101783,8869
101784,20136
101785,13157
101786,20424
101787,4873
101788,24248
101789,9757
